NAME,median_income,total_population,poverty_count,state,county,poverty_rate
"DeSoto County, Florida",45000.0,34258.0,8601,FLORIDA,DESOTO,25.10654445676922
"Dixie County, Florida",45057.0,16737.0,2445,FLORIDA,DIXIE,14.608352751389136
"Duval County, Florida",65579.0,995708.0,139341,FLORIDA,DUVAL,13.994162947370112
"Escambia County, Florida",61642.0,321296.0,44874,FLORIDA,ESCAMBIA,13.966560430257458
"Flagler County, Florida",69251.0,117515.0,11382,FLORIDA,FLAGLER,9.685572054631324
"Franklin County, Florida",58107.0,12276.0,2325,FLORIDA,FRANKLIN,18.939393939393938
"Gadsden County, Florida",45721.0,43746.0,10460,FLORIDA,GADSDEN,23.910757554976456
"Gilchrist County, Florida",56823.0,18070.0,2115,FLORIDA,GILCHRIST,11.70448256779192
"Glades County, Florida",37221.0,12179.0,2382,FLORIDA,GLADES,19.558256014451104
"Gulf County, Florida",56250.0,15002.0,1522,FLORIDA,GULF,10.145313958138914
"Hamilton County, Florida",47668.0,13492.0,2822,FLORIDA,HAMILTON,20.916098428698486
"Hardee County, Florida",44665.0,25528.0,6731,FLORIDA,HARDEE,26.367126292698213
"Hendry County, Florida",49259.0,39902.0,8729,FLORIDA,HENDRY,21.876096436268856
"Hernando County, Florida",59202.0,196621.0,24134,FLORIDA,HERNANDO,12.274375575345461
"Highlands County, Florida",53679.0,102339.0,15742,FLORIDA,HIGHLANDS,15.38221010562933
"Hillsborough County, Florida",70612.0,1468560.0,197369,FLORIDA,HILLSBOROUGH,13.439627934847742
"Holmes County, Florida",46063.0,19529.0,2949,FLORIDA,HOLMES,15.100619591376926
"Indian River County, Florida",67543.0,160986.0,18221,FLORIDA,INDIAN RIVER,11.318375510913993
"Jackson County, Florida",46144.0,47704.0,7787,FLORIDA,JACKSON,16.323578735535804
"Jefferson County, Florida",51573.0,14458.0,2414,FLORIDA,JEFFERSON,16.696638539217044
"Lafayette County, Florida",57852.0,8107.0,1306,FLORIDA,LAFAYETTE,16.109534969779205
"Lake County, Florida",66239.0,386829.0,36977,FLORIDA,LAKE,9.559004107758208
"Lee County, Florida",69368.0,772902.0,89142,FLORIDA,LEE,11.53341562060908
"Leon County, Florida",61317.0,294128.0,53940,FLORIDA,LEON,18.338954468802697
"Levy County, Florida",49933.0,43268.0,6718,FLORIDA,LEVY,15.526486086715355
"Liberty County, Florida",51723.0,7704.0,1375,FLORIDA,LIBERTY,17.8478712357217
"Madison County, Florida",43386.0,17986.0,3611,FLORIDA,MADISON,20.076726342710998
"Manatee County, Florida",71385.0,405069.0,40670,FLORIDA,MANATEE,10.04026474501875
"Marion County, Florida",55265.0,378225.0,52923,FLORIDA,MARION,13.992464802696809
"Martin County, Florida",77894.0,159399.0,16391,FLORIDA,MARTIN,10.283000520705901
"Miami-Dade County, Florida",64215.0,2688237.0,403997,FLORIDA,MIAMI-DADE,15.028325255548525
"Monroe County, Florida",80111.0,82044.0,9480,FLORIDA,MONROE,11.554775486324411
"Nassau County, Florida",84085.0,91538.0,8343,FLORIDA,NASSAU,9.114247634862025
"Okaloosa County, Florida",73988.0,212021.0,20998,FLORIDA,OKALOOSA,9.90373595068413
"Okeechobee County, Florida",50476.0,39870.0,7113,FLORIDA,OKEECHOBEE,17.84048156508653
"Orange County, Florida",72629.0,1427403.0,187454,FLORIDA,ORANGE,13.132521088998692
"Osceola County, Florida",64312.0,393745.0,52441,FLORIDA,OSCEOLA,13.318518330391496
"Palm Beach County, Florida",76066.0,1494805.0,166938,FLORIDA,PALM BEACH,11.167878084432417
"Pasco County, Florida",63187.0,569211.0,66197,FLORIDA,PASCO,11.629606595796638
"Pinellas County, Florida",66406.0,959918.0,107865,FLORIDA,PINELLAS,11.236897318312606
"Polk County, Florida",60901.0,736229.0,106728,FLORIDA,POLK,14.49657647280941
